START,END
50323090,50424065
75675151,75776326
28719434,28820830
128957238,129059694
9431027,9534317
133055984,133160851
69884694,69989606
47504231,47611212
55369625,55476784
77348020,77455434
106672511,106781146
52991762,53100791
68028680,68138133
57843866,57955929
89014300,89126714
123232060,123345279
112004012,112117437
71348818,71465433
107020503,107137398
102155631,102272620
38034507,38153115
13797284,13916296
69653747,69774042
134476843,134597951
132804544,132926573
110688856,110811683
142747489,142871422
51079544,51203996
82890373,83014973
148585871,148712457
100023831,100150448
27573726,27702032
57480553,57609449
26671823,26801698
73512455,73642963
90894386,91025902
17830994,17963323
16463433,16596419
100717964,100851164
12586078,12719865
103381202,103515699
20009263,20145676
38025849,38163352
128596824,128735212
128109830,128249187
83301492,83441756
40017541,40158572
5795439,5939453
110343501,110487574
111611714,111755854
75329604,75473927
23652422,23797317
150528836,150674373
19611927,19757872
113172345,113318340
2270569,2418311
55037868,55187312
119648194,119798074
41417873,41567882
80376429,80535770
32264937,32426621
35744404,35908860
67238540,67403742
23634608,23800991
7504266,7674180
50491735,50663232
96098623,96271101
138841959,139015274
54274832,54449734
46662713,46838096
72306706,72482950
77963801,78142150
62726307,62907091
134429741,134611582
14982735,15164742
140372555,140555540
39120804,39304709
148368489,148552502
93129655,93313880
13524818,13709054
117130990,117317651
107222065,107408755
55744533,55934493
118924919,119115729
144295120,144486640
19353222,19551384
39673770,39873188
56589715,56790271
47488561,47691284
70569822,70775042
10087612,10294758
152760641,152973907
154881010,155094398
109693414,109909006
64748707,64965920
13272673,13490805
117981675,118201091
8716989,8939253
94086478,94312017
66775538,67001078
15991547,16230652
103913351,104158087
122307852,122556820
50434851,50684766
18440694,18694722
96025436,96281491
109154372,109411206
40781746,41039539
118622813,118887771
125904287,126172147
109685941,109954706
34383718,34656370
48774600,49049273
133278387,133557743
11118990,11399670
113579393,113860880
85106543,85388884
122584166,122866939
16854673,17139677
115336315,115621388
47059793,47356749
44103364,44402350
23026632,23336345
105863148,106175101
109134248,109455540
102090816,102413043
115004668,115330207
149529305,149857420
130975510,131305597
81931944,82263510
108729076,109070679
50887765,51230617
106568401,106916191
11577178,11926585
103810583,104166919
105284036,105641097
108718732,109083297
23572539,23937843
10693228,11058606
103174066,103554771
83594637,83984829
47052991,47443899
144907520,145306083
129527557,129935939
100461564,100872298
102020202,102431392
68838773,69250432
71346528,71760260
117360110,117778434
135350719,135777059
38235275,38665024
109129472,109561125
78337501,78780200
82724688,83189402
80745599,81213460
25987254,26460565
147612070,148086596
30214589,30689452
73770242,74258856
135291550,135790603
132469182,132973211
21498104,22003512
50731782,51237372
9903531,10412362
47818444,48327819
105724605,106242269
45708807,46236051
64671650,65206182
45703080,46241178
119347657,119903944
103029150,103588462
18428265,19003000
25162273,25739756
3880573,4465367
46889843,47479344
43208756,43808988
132383791,132986966
11551358,12156803
47713998,48332580
73756125,74375973
18409170,19035499
84162467,84799714
56308316,57004705
21401000,22099707
16844422,17553451
9842090,10565994
27204909,27937009
135110653,135849333
75640754,76380851
89012896,89798708
108297716,109100230
80670233,81473870
40523614,41340606
14113880,14940710
11549468,12401429
152127514,152989244
57182947,58052535
56275037,57147628
16825771,17708311
70889945,71793186
101058556,101968338
63313774,64254630
18297281,19244121
69417198,70398895
121911745,122900640
68251206,69253337
92793681,93831490
9650571,10690904
43885844,44929741
110235958,111287340
135055836,136134631
69353184,70473216
73678657,74823761
68165836,69315999
3858139,5031299
43817831,45046236
31442138,32691364
26936837,28195408
102466060,103727539
135014165,136276401
148575802,149885356
7964576,9281321
151810586,153176528
148569025,149940716
120456102,121837758
127652594,129086751
98242264,99767556
134821947,136520346
15948836,17715382
40510992,42389440
110230637,112184765
49969253,52004701
31297484,33355019
13506392,15612591
31286574,33452712
73235363,75499469
150994404,153279137
150970545,153285376
53858521,56246234
150921956,153402232
120442497,123018750
45684106,48352567
45661099,48370023
45641389,48398149
117119244,119923991
49648956,52603779
96947619,99926237
45181717,48620294
31232133,34675223
3466823,6987114
87868465,91487294
24579377,28605126
31057085,35116608
125132505,129213870
3035814,7152208
24413982,29250049
24389593,29496886
101054391,106961398
116877975,123094253
124570831,130964940
24312873,30883244
24277791,31055085
101014041,107942661
87390827,94326171
86201709,94331582
86061903,94573965
114795860,123522521
53509168,62348046
85447954,94601931
85426510,95019960
24260279,35399017
40403240,53219874
24168539,37079170
82671452,95627859
24100079,37161928
96940873,110096924
53485131,67718226
53473049,67731223
53463048,67819495
22402224,37604707
80632944,95939701
80132487,96701316
40013253,67905620
80065398,114503099
79686796,114519550
79540972,123540605
79538196,124266224
71829252,131597541
70884100,131726975
